"Device ID","Session/Item ID","Session/Item Name","Question ID","Question Text","Response","Date"
"17205859","8909932","Rudder, Earl","157036","Poster Content","9: great","November 02 2017 01:01PM"
"17205846","8909932","Rudder, Earl","157036","Poster Content","5: average","November 02 2017 01:00PM"
"17205792","8909932","Rudder, Earl","157036","Poster Content","10: exceptional","November 02 2017 12:58PM"
"17205820","8909932","Rudder, Earl","157036","Poster Content","2: poor","November 02 2017 12:58PM"
"17205792","8909932","Rudder, Earl","157036","Poster Content","10: exceptional","November 02 2017 12:56PM"
"17205792","8909932","Rudder, Earl","157036","Poster Content","10: exceptional","November 02 2017 12:56PM"
"17205788","8909932","Rudder, Earl","157036","Poster Content","10: exceptional","November 02 2017 12:55PM"
"17205768","8909932","Rudder, Earl","157036","Poster Content","10: exceptional","November 02 2017 12:54PM"
"17205756","8909932","Rudder, Earl","157036","Poster Content","6: slightly above average","November 02 2017 12:52PM"
"17205755","8909932","Rudder, Earl","157036","Poster Content","4: slightly below average","November 02 2017 12:52PM"
"17205754","8909932","Rudder, Earl","157036","Poster Content","10: exceptional","November 02 2017 12:52PM"
"17205744","8909932","Rudder, Earl","157036","Poster Content","7: above average","November 02 2017 12:51PM"
"17205742","8909932","Rudder, Earl","157036","Poster Content","10: exceptional","November 02 2017 12:51PM"
"17205724","8909932","Rudder, Earl","157036","Poster Content","7: above average","November 02 2017 12:49PM"
"17205723","8909932","Rudder, Earl","157036","Poster Content","5: average","November 02 2017 12:49PM"
"17205661","8909932","Rudder, Earl","157036","Poster Content","5: average","November 02 2017 12:43PM"
"17205640","8909932","Rudder, Earl","157036","Poster Content","5: average","November 02 2017 12:41PM"
"17205620","8909932","Rudder, Earl","157036","Poster Content","8: good","November 02 2017 12:39PM"
"17205612","8909932","Rudder, Earl","157036","Poster Content","0: not acceptable","November 02 2017 12:38PM"
"17205603","8909932","Rudder, Earl","157036","Poster Content","0: not acceptable","November 02 2017 12:37PM"
"17205552","8909932","Rudder, Earl","157036","Poster Content","4: slightly below average","November 02 2017 12:30PM"
"17205547","8909932","Rudder, Earl","157036","Poster Content","10: exceptional","November 02 2017 12:30PM"
"17205527","8909932","Rudder, Earl","157036","Poster Content","7: above average","November 02 2017 12:27PM"
"17205477","8909932","Rudder, Earl","157036","Poster Content","3: less than average","November 02 2017 12:20PM"
"17205472","8909932","Rudder, Earl","157036","Poster Content","9: great","November 02 2017 12:20PM"
"17205446","8909932","Rudder, Earl","157036","Poster Content","5: average","November 02 2017 12:17PM"
"17205435","8909932","Rudder, Earl","157036","Poster Content","10: exceptional","November 02 2017 12:16PM"
"17205424","8909932","Rudder, Earl","157036","Poster Content","10: exceptional","November 02 2017 12:15PM"
"17205419","8909932","Rudder, Earl","157036","Poster Content","9: great","November 02 2017 12:14PM"
"17205374","8909932","Rudder, Earl","157036","Poster Content","8: good","November 02 2017 12:10PM"
"17205347","8909932","Rudder, Earl","157036","Poster Content","10: exceptional","November 02 2017 12:06PM"
"17205270","8909932","Rudder, Earl","157036","Poster Content","5: average","November 02 2017 12:00PM"
"17205263","8909932","Rudder, Earl","157036","Poster Content","5: average","November 02 2017 11:59AM"
"17205260","8909932","Rudder, Earl","157036","Poster Content","9: great","November 02 2017 11:59AM"
"17205224","8909932","Rudder, Earl","157036","Poster Content","9: great","November 02 2017 11:56AM"
"17205222","8909932","Rudder, Earl","157036","Poster Content","9: great","November 02 2017 11:56AM"
"17205214","8909932","Rudder, Earl","157036","Poster Content","10: exceptional","November 02 2017 11:55AM"
"17205212","8909932","Rudder, Earl","157036","Poster Content","3: less than average","November 02 2017 11:55AM"
"17205163","8909932","Rudder, Earl","157036","Poster Content","0: not acceptable","November 02 2017 11:53AM"
"17205111","8909932","Rudder, Earl","157036","Poster Content","9: great","November 02 2017 11:46AM"
"17204895","8909932","Rudder, Earl","157036","Poster Content","5: average","November 02 2017 11:38AM"
"17204732","8909932","Rudder, Earl","157036","Poster Content","7: above average","November 02 2017 11:30AM"
"17204641","8909932","Rudder, Earl","157036","Poster Content","9: great","November 02 2017 11:25AM"
"17204580","8909932","Rudder, Earl","157036","Poster Content","7: above average","November 02 2017 11:25AM"
"17204637","8909932","Rudder, Earl","157036","Poster Content","10: exceptional","November 02 2017 11:25AM"
"17204612","8909932","Rudder, Earl","157036","Poster Content","5: average","November 02 2017 11:23AM"
