Device ID,Session/Item ID,Session/Item Name,Question ID,Question Text,Response,Date
17124105,8872013,"Test, Student One",157036,Poster Content,3: less than average,October 25 2017 12:29PM
17124114,8872013,"Test, Student One",157036,Poster Content,3: less than average,October 25 2017 12:19PM
17124105,8872013,"Test, Student One",157036,Poster Content,6: slightly above average,October 25 2017 12:19PM
17124102,8872013,"Test, Student One",157036,Poster Content,6: slightly above average,October 25 2017 12:18PM
17124101,8872013,"Test, Student One",157036,Poster Content,10: exceptional,October 25 2017 12:18PM
17124099,8872013,"Test, Student One",157036,Poster Content,0: not acceptable,October 25 2017 12:18PM
17123091,8872013,"Test, Student One",157036,Poster Content,3: less than average,October 25 2017 12:18PM
17124098,8872013,"Test, Student One",157036,Poster Content,6: slightly above average,October 25 2017 12:18PM
17124097,8872013,"Test, Student One",157036,Poster Content,5: average,October 25 2017 12:18PM
17124096,8872013,"Test, Student One",157036,Poster Content,6: slightly above average,October 25 2017 12:18PM
17124095,8872013,"Test, Student One",157036,Poster Content,10: exceptional,October 25 2017 12:18PM
17124093,8872013,"Test, Student One",157036,Poster Content,5: average,October 25 2017 12:18PM
17123091,8784599,"Baker, Credence",157036,Poster Content,7: above average,October 25 2017 10:40AM
17124105,8872013,"Test, Student One",157035,Presenter's Oral Presentation of the Research,5: average,October 25 2017 12:29PM
17124114,8872013,"Test, Student One",157035,Presenter's Oral Presentation of the Research,6: slightly above average,October 25 2017 12:19PM
17124105,8872013,"Test, Student One",157035,Presenter's Oral Presentation of the Research,5: average,October 25 2017 12:19PM
17124102,8872013,"Test, Student One",157035,Presenter's Oral Presentation of the Research,7: above average,October 25 2017 12:18PM
17124101,8872013,"Test, Student One",157035,Presenter's Oral Presentation of the Research,5: average,October 25 2017 12:18PM
17124099,8872013,"Test, Student One",157035,Presenter's Oral Presentation of the Research,0: not acceptable,October 25 2017 12:18PM
17123091,8872013,"Test, Student One",157035,Presenter's Oral Presentation of the Research,5: average,October 25 2017 12:18PM
17124098,8872013,"Test, Student One",157035,Presenter's Oral Presentation of the Research,0: not acceptable,October 25 2017 12:18PM
17124097,8872013,"Test, Student One",157035,Presenter's Oral Presentation of the Research,6: slightly above average,October 25 2017 12:18PM
17124096,8872013,"Test, Student One",157035,Presenter's Oral Presentation of the Research,7: above average,October 25 2017 12:18PM
17124095,8872013,"Test, Student One",157035,Presenter's Oral Presentation of the Research,5: average,October 25 2017 12:18PM
17124093,8872013,"Test, Student One",157035,Presenter's Oral Presentation of the Research,5: average,October 25 2017 12:18PM
17123091,8784599,"Baker, Credence",157035,Presenter's Oral Presentation of the Research,9: great,October 25 2017 10:40AM
17124105,8872013,"Test, Student One",157034,"Poster Organization, Mechanics, and Appearance",6: slightly above average,October 25 2017 12:29PM
17124114,8872013,"Test, Student One",157034,"Poster Organization, Mechanics, and Appearance",5: average,October 25 2017 12:19PM
17124105,8872013,"Test, Student One",157034,"Poster Organization, Mechanics, and Appearance",1 : very poor,October 25 2017 12:19PM
17124102,8872013,"Test, Student One",157034,"Poster Organization, Mechanics, and Appearance",5: average,October 25 2017 12:18PM
17124101,8872013,"Test, Student One",157034,"Poster Organization, Mechanics, and Appearance",3: less than average,October 25 2017 12:18PM
17124099,8872013,"Test, Student One",157034,"Poster Organization, Mechanics, and Appearance",0: not acceptable,October 25 2017 12:18PM
17123091,8872013,"Test, Student One",157034,"Poster Organization, Mechanics, and Appearance",6: slightly above average,October 25 2017 12:18PM
17124098,8872013,"Test, Student One",157034,"Poster Organization, Mechanics, and Appearance",4: slightly below average,October 25 2017 12:18PM
17124097,8872013,"Test, Student One",157034,"Poster Organization, Mechanics, and Appearance",6: slightly above average,October 25 2017 12:18PM
17124096,8872013,"Test, Student One",157034,"Poster Organization, Mechanics, and Appearance",10: exceptional,October 25 2017 12:18PM
17124095,8872013,"Test, Student One",157034,"Poster Organization, Mechanics, and Appearance",7: above average,October 25 2017 12:18PM
17124093,8872013,"Test, Student One",157034,"Poster Organization, Mechanics, and Appearance",5: average,October 25 2017 12:18PM
17123091,8784599,"Baker, Credence",157034,"Poster Organization, Mechanics, and Appearance",7: above average,October 25 2017 10:40AM
17124105,8872013,"Test, Student One",157033,Abstract,9: great,October 25 2017 12:29PM
17124114,8872013,"Test, Student One",157033,Abstract,5: average,October 25 2017 12:19PM
17124105,8872013,"Test, Student One",157033,Abstract,1: very poor,October 25 2017 12:19PM
17124102,8872013,"Test, Student One",157033,Abstract,5: average,October 25 2017 12:18PM
17124101,8872013,"Test, Student One",157033,Abstract,2: poor,October 25 2017 12:18PM
17124099,8872013,"Test, Student One",157033,Abstract,0: not acceptable,October 25 2017 12:18PM
17123091,8872013,"Test, Student One",157033,Abstract,7: above average,October 25 2017 12:18PM
17124098,8872013,"Test, Student One",157033,Abstract,1: very poor,October 25 2017 12:18PM
17124097,8872013,"Test, Student One",157033,Abstract,5: average,October 25 2017 12:18PM
17124096,8872013,"Test, Student One",157033,Abstract,2: poor,October 25 2017 12:18PM
17124095,8872013,"Test, Student One",157033,Abstract,6: slightly above average,October 25 2017 12:18PM
17124093,8872013,"Test, Student One",157033,Abstract,5: average,October 25 2017 12:18PM
17123091,8784599,"Baker, Credence",157033,Abstract,8: good,October 25 2017 10:40AM
17124105,8872013,"Test, Student One",150165,Feedback/Comments,Mei Jiang,October 25 2017 12:29PM
17124114,8872013,"Test, Student One",150165,Feedback/Comments,Ken Poenisch,October 25 2017 12:19PM
17124105,8872013,"Test, Student One",150165,Feedback/Comments,Logan Yelderman,October 25 2017 12:19PM
17124102,8872013,"Test, Student One",150165,Feedback/Comments,"Ripendra Awal",October 25 2017 12:18PM
17124101,8872013,"Test, Student One",150165,Feedback/Comments,Huajun Fan,October 25 2017 12:18PM
17124099,8872013,"Test, Student One",150165,Feedback/Comments,Tom Faulkenberry,October 25 2017 12:18PM
17123091,8872013,"Test, Student One",150165,Feedback/Comments,Mary Winton,October 25 2017 12:18PM
17124098,8872013,"Test, Student One",150165,Feedback/Comments,Sharence Downey,October 25 2017 12:18PM
17124097,8872013,"Test, Student One",150165,Feedback/Comments,Sue Joiner,October 25 2017 12:18PM
17124096,8872013,"Test, Student One",150165,Feedback/Comments,Kristin Herrmann,October 25 2017 12:18PM
17124095,8872013,"Test, Student One",150165,Feedback/Comments,Rosana Moreira,October 25 2017 12:18PM
17124093,8872013,"Test, Student One",150165,Feedback/Comments,Christopher Copeland,October 25 2017 12:18PM
17123091,8784599,"Baker, Credence",150165,Feedback/Comments,James Muir,October 25 2017 10:40AM
17124105,8872013,"Test, Student One",144457,Judges Password,Score ,October 25 2017 12:29PM
17124114,8872013,"Test, Student One",144457,Judges Password,Score,October 25 2017 12:19PM
17124105,8872013,"Test, Student One",144457,Judges Password,Score,October 25 2017 12:19PM
17124102,8872013,"Test, Student One",144457,Judges Password,Score,October 25 2017 12:18PM
17124101,8872013,"Test, Student One",144457,Judges Password,Score,October 25 2017 12:18PM
17124099,8872013,"Test, Student One",144457,Judges Password,score,October 25 2017 12:18PM
17123091,8872013,"Test, Student One",144457,Judges Password,score,October 25 2017 12:18PM
17124098,8872013,"Test, Student One",144457,Judges Password,score,October 25 2017 12:18PM
17124097,8872013,"Test, Student One",144457,Judges Password,Score,October 25 2017 12:18PM
17124096,8872013,"Test, Student One",144457,Judges Password,score,October 25 2017 12:18PM
17124095,8872013,"Test, Student One",144457,Judges Password,score,October 25 2017 12:18PM
17124093,8872013,"Test, Student One",144457,Judges Password,score,October 25 2017 12:18PM
17123091,8784599,"Baker, Credence",144457,Judges Password,score,October 25 2017 10:40AM
